34607524;1110698299;1110698273;
34607524;1110698273;2213493593;
34607492;25620653;1110698260;
34607575;1788787056;2250812489;
34607575;2250812489;1788787061;
38336644;25632373;1788787039;
38336644;1788787039;1788787030;
38336635;1110698255;1110698259;
38336635;1110698259;1110698292;
38336639;452682304;1110698254;
38336639;1110698254;1110698245;
38336639;1110698245;452682256;
95843586;1110698255;452682282;
38336638;452682300;2912181005;
38336638;2912181005;1110698285;
38336638;1110698285;2912182796;
38336638;2912182796;1110698265;
8367068;25632293;1110698289;
8367068;1110698289;1110698281;
8367068;1110698281;1110698269;
8367068;1110698269;25620653;
34772371;129548930;349907649;
34772371;349907649;129548929;
34772371;129548929;473873465;
34772371;473873465;129548927;
34772371;129548927;1209790928;
34772371;1209790928;25632375;
34772371;25632375;452682304;
34772371;452682304;452682268;
34772371;452682268;452682289;
34772371;452682289;452682297;
220233689;452682286;452682274;
220233689;452682274;452682277;
220233689;452682277;452682253;
220233689;452682253;452682256;
220233689;452682256;2086430194;
95843585;452682270;2912153172;
95843585;2912153172;452682300;
95843585;452682300;452682286;
167487346;1788787061;1788787052;
167487346;1788787052;1788787030;
95843587;25632293;1110698247;
95843587;1110698247;1110698297;
95843587;1110698297;2250812504;
95843587;2250812504;1110698276;
95843587;1110698276;1110698268;
95843587;1110698268;1110698273;
128825641;25632366;25632292;
128825641;25632292;1110698257;
128825641;1110698257;25632293;
210669783;452682297;2912153176;
210669783;2912153176;452682270;
210669782;1110698260;452682279;
210669782;452682279;1110698255;
8367069;137982795;25632284;
8367069;25632284;2749809980;
8367069;2749809980;25632285;
211339129;2213493593;2250812526;
211339129;2250812526;2250812461;
211339129;2250812461;2250812531;
211339129;2250812531;1788787056;
211342284;1788787061;1788787075;
211342284;1788787075;25632373;
211342286;1788787056;25632374;
211342283;1788787030;2250812484;
211342283;2250812484;2250812465;
211342283;2250812465;2250812512;
211342283;2250812512;25632285;
211342283;25632285;1110698264;
211342283;1110698264;25632293;
220233691;452682286;452682289;
220233691;452682289;452682292;
220233691;452682292;1110698292;
38336636;1110698243;1110698272;
38336636;1110698272;452682285;
38336636;452682285;452682286;
38336637;1110698260;1110698280;
38336637;1110698280;2896394657;
38336637;2896394657;452682295;
38336637;452682295;452682297;
211339130;1110698292;1110698250;
211339130;1110698250;1110698278;
211339130;1110698278;1110698299;
34607518;25620653;25620570;
34607518;25620570;1106006327;
34607518;1106006327;2893389981;
34607518;2893389981;25620759;
34607518;25620759;2246086928;
34607518;2246086928;2246054719;
34607518;2246054719;25620737;
34607518;25620737;25620947;
34607518;25620947;3388020773;
34607518;3388020773;3388020769;
34607518;3388020769;25620960;
286005192;2896394650;3392711363;
286005192;3392711363;2896394657;
